date,description,amount,balance,category
2024-05-09,POS Purchase N1 Grasmere,-13.0,45172.62,Groceries
2024-05-09,POS Purchase N1 Grasmere,-25.5,45147.12,Groceries
2024-05-09,POS Purchase N1 Grasmere,-25.5,45121.62,Groceries
2024-05-09,POS Purchase N1 Grasmere,-25.5,45196.12,Groceries
2024-05-09,POS Purchase N1 Grasmere,-25.5,45170.62,Groceries
2024-05-09,POS Purchase N1 Grasmere,-25.5,45145.12,Groceries
2024-05-09,POS Purchase PNP Mm Fourways 2,-181.2,44863.92,Groceries
2024-05-09,POS Purchase Eden Perfumes 10,-250.0,44613.92,Groceries
2024-05-09,POS Purchase Family Pet Centre F,-1345.0,43268.92,Groceries
2024-05-10,FNB App Payment From Lettuce Unit4,77.0,43345.92,Income
2024-05-10,FNB App Transfer To Trf,-600.0,42745.92,Transfer
2024-05-10,FNB App Transfer To Trf,-600.0,42145.92,Transfer
2024-05-10,FNB App Transfer From Trf,480.0,42625.92,Transfer
2024-05-10,ADT Cash Deposit Mandela Sales,2530.0,45155.92,Deposit
2024-05-10,FNB App Payment To Eskom,-5676.02,39479.9,Utilities
2024-05-10,FNB App Payment To Eskom,-3824.22,35655.68,Utilities
2024-05-10,Chq Card ATM Local Cash Advanc Cash Total Riversid,-100.0,35555.68,ATM Withdrawal
2024-05-10,POS Purchase N1 Grasmere,-13.0,35542.68,Groceries
2024-05-10,POS Purchase Total Riverside C,-13.2,35529.48,Groceries
2024-05-10,POS Purchase N1 Grasmere,-25.5,35503.98,Groceries
2024-05-10,POS Purchase N1 Grasmere,-25.5,35478.48,Groceries
2024-05-10,POS Purchase N1 Grasmere,-25.5,35452.98,Groceries
2024-05-10,POS Purchase N1 Grasmere,-25.5,35427.48,Groceries
2024-05-10,POS Purchase Charlie'S Place,-132.0,35369.98,Dining
2024-05-10,POS Purchase Ultra Supermarket A,-375.5,34994.48,Groceries
2024-05-10,POS Purchase Ultra Boeredienste,-394.9,34600.58,Groceries
2024-05-10,POS Purchase Vaal Animal Clinic3,-875.92,33624.66,Groceries
2024-05-10,POS Purchase Rebelo Agricultural,-7009.61,26614.05,Groceries
2024-05-10,Card Purchase With Cashback Highway Vaal Fillin,-35.0,26679.05,Fuel
2024-05-10,Card Cashback Cashb Highway Vaal F,-300.0,26379.05,Cashback
2024-05-10,Fuel Purchase Sasol Olivedale,-700.0,25679.05,Fuel
2024-05-11,ADT Cash Deposit Vaal Mal Sal,5400.0,30979.05,Deposit
2024-05-11,ADT Cash Deposit Vaal Mal Sal,2900.0,33879.05,Deposit
2024-05-11,ADT Cash Deposit 00102001 Sals,1000.0,34879.05,Deposit
2024-05-11,POS Purchase PNP Crp Douglasdale,-264.15,34614.9,Groceries
2024-05-11,Fuel Purchase Engen Grasmere,-500.0,34114.9,Fuel
2024-05-13,FNB App Payment To Levies Unit 34 Tsvetu,-2516.79,31598.11,Payment
2024-05-13,FNB App Transfer From Levies Trf,2516.79,34114.9,Transfer
2024-05-13,ADT Cash Deposit Vaal Mal Sals,2700.0,36814.9,Deposit
2024-05-13,FNB App Rtc Pmt To Concrete Benches Brenda,-5200.0,31614.9,Payment
2024-05-13,ADT Cash Deposit 09681001 Sales,2300.0,33914.9,Deposit
2024-05-13,FNB App Transfer To Trf,-690.0,33224.9,Transfer
2024-05-13,POS Purchase N1 Grasmere,-13.0,33211.9,Groceries
2024-05-13,POS Purchase N1 Grasmere,-25.5,33286.4,Groceries
2024-05-13,POS Purchase N1 Grasmere,-25.5,33260.9,Groceries
2024-05-13,POS Purchase N1 Grasmere,-25.5,33235.4,Groceries
2024-05-13,POS Purchase N1 Grasmere,-25.5,33209.9,Groceries
2024-05-13,POS Purchase N1 Grasmere,-25.5,33184.4,Groceries
2024-05-13,POS Purchase N1 Grasmere,-25.5,33158.9,Groceries
2024-05-13,POS Purchase N1 Grasmere,-25.5,33133.4,Groceries
2024-05-13,POS Purchase N1 Grasmere,-25.5,33107.9,Groceries
2024-05-13,POS Purchase N1 Grasmere,-25.5,33082.4,Groceries
2024-05-13,POS Purchase Morningdew Holdings,-172.5,33058.9,Groceries
2024-05-13,POS Purchase Morningdew Holdings,-1020.0,31938.9,Groceries
2024-05-13,POS Purchase Bvh,-15000.0,1938.9,Groceries
2024-05-14,FNB App Payment To Legal Fees Bren Farms,-2000.0,1738.9,Payment
2024-05-14,FNB App Transfer To Trf,-660.0,1078.9,Transfer
2024-05-14,ADT Cash Deposit Vanderbi Sales,3550.0,17128.9,Deposit
2024-05-14,POS Purchase Charlie'S Place,-113.0,17015.9,Dining
2024-05-14,POS Purchase Engen Block House-N,-270.0,16745.9,Fuel
2024-05-14,Fuel Purchase Grayston Drive BP,-700.0,16045.9,Fuel
2024-05-15,FNB App Transfer To Trf,-900.0,15445.9,Transfer
2024-05-15,FNB App Rtc Pmt To Plot Rental Bren Farms,-2000.0,13445.9,Payment
2024-05-15,FNB App Transfer To Trf,-600.0,12845.9,Transfer
2024-05-15,POS Purchase N1 Grasmere,-25.5,12820.4,Groceries
2024-05-15,Fuel Purchase BP M2,-500.0,12320.4,Fuel
2024-05-16,POS Purchase Facebk *R2Xjs5Yzm2,-42.55,12277.85,Groceries
2024-05-16,Realtime Credit Pm8+Lulald,20000.0,32277.85,Income
2024-05-16,ADT Cash Deposit Vaal Mal Sall,2000.0,34477.85,Deposit
2024-05-16,FNB OB Pmt Exjhb/37,1697.49,36175.34,Income
2024-05-16,POS Purchase N1 Grasmere,-13.0,36162.34,Groceries
2024-05-16,POS Purchase N1 Grasmere,-13.0,36149.34,Groceries
2024-05-16,POS Purchase N1 Grasmere,-25.5,36123.84,Groceries
2024-05-16,POS Purchase N1 Grasmere,-25.5,36198.34,Groceries
2024-05-16,POS Purchase N1 Grasmere,-25.5,36247.84,Groceries
2024-05-16,POS Purchase N1 Grasmere,-25.5,36272.34,Groceries
2024-05-16,POS Purchase N1 Grasmere,-25.5,36297.84,Groceries
2024-05-16,POS Purchase N1 Grasmere,-25.5,36323.34,Groceries
2024-05-16,POS Purchase N1 Grasmere,-25.5,36348.84,Groceries
2024-05-16,POS Purchase N1 Grasmere,-25.5,36374.34,Groceries
2024-05-17,POS Purchase Facebk *Ytzbt5Yzm2,-42.55,36331.79,Groceries
2024-05-17,FNB App Transfer To Trf,-100.0,36331.79,Transfer
2024-05-17,ADT Cash Deposit Vanderbi Sales,1200.0,36731.79,Deposit
2024-05-17,FNB App Payment To Poles Bren Farms,-3700.0,33031.79,Payment
2024-05-17,Rtc Credit A000013,19800.0,53077.29,Income
2024-05-17,FNB App Rtc Pmt To Kara Seedling Gh Brenda,-8000.0,45077.29,Payment
2024-05-18,FNB App Transfer To Trf,-600.0,44477.29,Transfer
2024-05-18,Send Money App Dr Send,-500.0,43977.29,Transfer
2024-05-18,POS Purchase N1 Grasmere,-13.0,43964.29,Groceries
2024-05-18,POS Purchase B.Nagiah'S Randburg,-14.9,43949.39,Groceries
2024-05-18,POS Purchase N1 Grasmere,-25.5,43923.89,Groceries
2024-05-18,POS Purchase N1 Grasmere,-25.5,43908.39,Groceries
2024-05-18,POS Purchase Total Riverside C,-28.7,43879.69,Groceries
2024-05-18,POS Purchase Yoco *B Nagiahs R,-30.0,43849.69,Groceries
2024-05-18,POS Purchase Facebk *Tk6Xb6Uzm2,-46.0,43803.69,Groceries
2024-05-18,Fuel Purchase Sasol Olivedale,-600.0,43203.69,Fuel
2024-05-20,ADT Cash Deposit Parys Sales,3270.0,46412.69,Deposit
2024-05-20,FNB App Transfer To Trf,-700.0,45712.69,Transfer
2024-05-20,FNB App Payment To Rebelo Bren Farms,-6297.89,39414.8,Payment
2024-05-20,POS Purchase Highway Vaal Fillin,-8.5,39406.3,Fuel
2024-05-20,POS Purchase Trailer Pro,-450.0,38956.3,Groceries
2024-05-20,POS Purchase Riverside Mica Home,-2429.93,36526.37,Groceries
2024-05-20,Fuel Purchase Sasol Olivedale,-1000.0,35526.37,Fuel
2024-05-21,FNB App Rtc Pmt To Kara Seedling Gh Brenda,-5000.0,30526.37,Payment
2024-05-21,Unknown Transaction,-130.0,30396.37,Unknown
2024-05-21,Magtape Credit Cabbage And Lettuc,4602.0,34998.37,Income
2024-05-21,POS Purchase Highway Vaal Fillin,-8.5,34989.87,Fuel
2024-05-21,POS Purchase KFC Vanderbijlpark,-136.8,34853.07,Dining
2024-05-21,Fuel Purchase Highway Vaal Fillin,-287.88,34865.19,Fuel
2024-05-21,Fuel Purchase Total Parys C,-600.0,33965.19,Fuel
2024-05-21,Unknown Transaction,-315.0,33650.19,Unknown
2024-05-21,Unknown Transaction,-14.4,33635.79,Unknown
2024-05-21,Unknown Transaction,-119.0,33616.79,Unknown
2024-05-21,Unknown Transaction,-367.05,33149.74,Unknown
